batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position,dismissed
Rinku Singh,c Little b Noor Ahmad,19,20.0,33,0.0,1.0,95.00,1359513,6,1
Andre Russell,c Tewatia b Mohammed Shami,34,19.0,22,2.0,3.0,178.94,1359513,7,1
David Wiese,not out ,8,6.0,13,0.0,1.0,133.33,1359513,8,0
KL Rahul,c Shahrukh Khan b Rabada,12,9.0,19,1.0,1.0,133.33,1359512,1,1
Kyle Mayers,c Dhawan b Rabada,54,24.0,31,7.0,4.0,225.00,1359512,2,1
Ayush Badoni,c Chahar b Livingstone,43,24.0,49,3.0,3.0,179.16,1359512,3,1
Marcus Stoinis,c Sharma b Curran,72,40.0,63,6.0,5.0,180.00,1359512,4,1
Nicholas Pooran,lbw b Arshdeep Singh,45,19.0,36,7.0,1.0,236.84,1359512,5,1
Deepak Hooda,not out ,11,6.0,12,2.0,0.0,183.33,1359512,6,0
Krunal Pandya,not out ,5,2.0,3,1.0,0.0,250.00,1359512,7,0
Yashasvi Jaiswal,c Rahane b Deshpande,77,43.0,67,8.0,4.0,179.06,1359511,1,1
Jos Buttler,c Dube b Jadeja,27,21.0,40,4.0,0.0,128.57,1359511,2,1
Sanju Samson,c Gaikwad b Deshpande,17,17.0,21,1.0,0.0,100.00,1359511,3,1
Shimron Hetmyer, b Theekshana,8,10.0,16,0.0,0.0,80.00,1359511,4,1
Dhruv Jurel,run out (Dhoni),34,15.0,32,3.0,2.0,226.66,1359511,5,1
Devdutt Padikkal,not out ,27,13.0,22,5.0,0.0,207.69,1359511,6,0
Ravichandran Ashwin,not out ,1,1.0,3,0.0,0.0,100.00,1359511,7,0
Jason Roy, b Vyshak,56,29.0,50,4.0,5.0,193.10,1359510,1,1
Narayan Jagadeesan,c Willey b Vyshak,27,29.0,44,4.0,0.0,93.10,1359510,2,1
Venkatesh Iyer,c Maxwell b Hasaranga,31,26.0,44,3.0,0.0,119.23,1359510,3,1
Nitish Rana,c Vyshak b Hasaranga,48,21.0,28,3.0,4.0,228.57,1359510,4,1
Andre Russell, b Mohammed Siraj,1,2.0,10,0.0,0.0,50.00,1359510,5,1
Rinku Singh,not out ,18,10.0,12,2.0,1.0,180.00,1359510,6,0
David Wiese,not out ,12,3.0,5,0.0,2.0,400.00,1359510,7,0
